image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39831,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39831,usr/bin/aks-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39833,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39833,usr/bin/aks-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39834,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39834,usr/bin/aks-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-46598,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-46598,usr/bin/aks-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,usr/bin/aks-operator,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,usr/bin/aks-operator,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-42502,HIGH,https://avd.aquasec.com/nvd/cve-2026-42502,usr/bin/aks-operator,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-25680,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-25680,usr/bin/aks-operator,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-42506,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42506,usr/bin/aks-operator,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-27145,HIGH,https://avd.aquasec.com/nvd/cve-2026-27145,usr/bin/aks-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/aks-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,usr/bin/aks-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/aks-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-42507,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42507,usr/bin/aks-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/eks-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-27145,HIGH,https://avd.aquasec.com/nvd/cve-2026-27145,usr/bin/eks-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/eks-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,usr/bin/eks-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/eks-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-42507,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42507,usr/bin/eks-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/fleet-agent:v0.16.0-rc.1,rancher/head,oras.land/oras-go/v2,v2.6.1,gobinary,CVE-2026-50163,HIGH,https://avd.aquasec.com/nvd/cve-2026-50163,usr/bin/fleetagent,,false,affected,
rancher/fleet:v0.16.0-rc.1,rancher/head,oras.land/oras-go/v2,v2.6.1,gobinary,CVE-2026-50163,HIGH,https://avd.aquasec.com/nvd/cve-2026-50163,usr/bin/fleet,,false,affected,
rancher/fleet:v0.16.0-rc.1,rancher/head,oras.land/oras-go/v2,v2.6.1,gobinary,CVE-2026-50163,HIGH,https://avd.aquasec.com/nvd/cve-2026-50163,usr/bin/fleetcontroller,,false,affected,
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39827,HIGH,https://avd.aquasec.com/nvd/cve-2026-39827,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39828,HIGH,https://avd.aquasec.com/nvd/cve-2026-39828,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39829,HIGH,https://avd.aquasec.com/nvd/cve-2026-39829,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39830,HIGH,https://avd.aquasec.com/nvd/cve-2026-39830,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39832,HIGH,https://avd.aquasec.com/nvd/cve-2026-39832,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39835,HIGH,https://avd.aquasec.com/nvd/cve-2026-39835,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-42508,HIGH,https://avd.aquasec.com/nvd/cve-2026-42508,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-46595,HIGH,https://avd.aquasec.com/nvd/cve-2026-46595,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-46597,HIGH,https://avd.aquasec.com/nvd/cve-2026-46597,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39831,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39831,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39833,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39833,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-39834,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39834,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,golang.org/x/crypto,v0.51.0,gobinary,CVE-2026-46598,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-46598,usr/bin/gke-operator,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/gke-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-27145,HIGH,https://avd.aquasec.com/nvd/cve-2026-27145,usr/bin/gke-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/gke-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,usr/bin/gke-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/gke-operator:v1.15.0-rc.2,rancher/head,stdlib,v1.26.3,gobinary,CVE-2026-42507,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42507,usr/bin/gke-operator,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,pod_nanny,0.53.0,false,affected,
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,pod_nanny,0.55.0,false,affected,
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,pod_nanny,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,pod_nanny,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-42502,HIGH,https://avd.aquasec.com/nvd/cve-2026-42502,pod_nanny,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,pod_nanny,0.36.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,pod_nanny,0.38.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2025-47911,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-47911,pod_nanny,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2025-58190,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-58190,pod_nanny,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-25680,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-25680,pod_nanny,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/net,v0.33.0,gobinary,CVE-2026-42506,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42506,pod_nanny,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-addon-resizer:1.8.23-build20260604,rancher/head,golang.org/x/oauth2,v0.24.0,gobinary,CVE-2025-22868,HIGH,https://avd.aquasec.com/nvd/cve-2025-22868,pod_nanny,0.27.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,libopenssl-3-fips-provider,3.2.3-150700.5.31.1,sles,SUSE-SU-2026:2648-1,HIGH,,rancher/hardened-calico:v3.32.0-build20260604 (sles 15.7),3.2.3-150700.5.36.1,false,affected,
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,libopenssl3,3.2.3-150700.5.31.1,sles,SUSE-SU-2026:2648-1,HIGH,,rancher/hardened-calico:v3.32.0-build20260604 (sles 15.7),3.2.3-150700.5.36.1,false,affected,
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,libuuid1,2.40.4-150700.4.10.1,sles,SUSE-SU-2026:2485-1,MEDIUM,,rancher/hardened-calico:v3.32.0-build20260604 (sles 15.7),2.40.4-150700.4.13.1,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39827,HIGH,https://avd.aquasec.com/nvd/cve-2026-39827,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39828,HIGH,https://avd.aquasec.com/nvd/cve-2026-39828,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39829,HIGH,https://avd.aquasec.com/nvd/cve-2026-39829,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39830,HIGH,https://avd.aquasec.com/nvd/cve-2026-39830,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39832,HIGH,https://avd.aquasec.com/nvd/cve-2026-39832,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39835,HIGH,https://avd.aquasec.com/nvd/cve-2026-39835,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-42508,HIGH,https://avd.aquasec.com/nvd/cve-2026-42508,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46595,HIGH,https://avd.aquasec.com/nvd/cve-2026-46595,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46597,HIGH,https://avd.aquasec.com/nvd/cve-2026-46597,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39831,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39831,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39833,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39833,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39834,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39834,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46598,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-46598,calicoctl,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,calicoctl,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,calicoctl,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,calicoctl,0.53.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,calicoctl,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-42502,HIGH,https://avd.aquasec.com/nvd/cve-2026-42502,calicoctl,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-25680,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-25680,calicoctl,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-42506,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42506,calicoctl,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39827,HIGH,https://avd.aquasec.com/nvd/cve-2026-39827,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39828,HIGH,https://avd.aquasec.com/nvd/cve-2026-39828,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39829,HIGH,https://avd.aquasec.com/nvd/cve-2026-39829,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39830,HIGH,https://avd.aquasec.com/nvd/cve-2026-39830,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39832,HIGH,https://avd.aquasec.com/nvd/cve-2026-39832,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39835,HIGH,https://avd.aquasec.com/nvd/cve-2026-39835,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-42508,HIGH,https://avd.aquasec.com/nvd/cve-2026-42508,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46595,HIGH,https://avd.aquasec.com/nvd/cve-2026-46595,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46597,HIGH,https://avd.aquasec.com/nvd/cve-2026-46597,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39831,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39831,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39833,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39833,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39834,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39834,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46598,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-46598,opt/cni/bin/calico,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,opt/cni/bin/calico,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,opt/cni/bin/calico,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,opt/cni/bin/calico,0.53.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,opt/cni/bin/calico,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-42502,HIGH,https://avd.aquasec.com/nvd/cve-2026-42502,opt/cni/bin/calico,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-25680,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-25680,opt/cni/bin/calico,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/net,v0.49.0,gobinary,CVE-2026-42506,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42506,opt/cni/bin/calico,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39827,HIGH,https://avd.aquasec.com/nvd/cve-2026-39827,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39828,HIGH,https://avd.aquasec.com/nvd/cve-2026-39828,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39829,HIGH,https://avd.aquasec.com/nvd/cve-2026-39829,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39830,HIGH,https://avd.aquasec.com/nvd/cve-2026-39830,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39832,HIGH,https://avd.aquasec.com/nvd/cve-2026-39832,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39835,HIGH,https://avd.aquasec.com/nvd/cve-2026-39835,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-42508,HIGH,https://avd.aquasec.com/nvd/cve-2026-42508,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46595,HIGH,https://avd.aquasec.com/nvd/cve-2026-46595,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-calico:v3.32.0-build20260604,rancher/head,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-46597,HIGH,https://avd.aquasec.com/nvd/cve-2026-46597,opt/cni/bin/calico-ipam,0.52.0,false,not_affected,vulnerable_code_not_present
