image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
longhornio/backing-image-manager:v1.7.2,longhorn/v1.7.2,qemu-tools,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/backing-image-manager:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/csi-attacher:v4.7.0,longhorn/v1.7.2,stdlib,v1.22.5,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,csi-attacher,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/csi-node-driver-registrar:v2.12.0,longhorn/v1.7.2,stdlib,v1.22.5,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,csi-node-driver-registrar,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/csi-provisioner:v4.0.1-20241007,longhorn/v1.7.2,stdlib,v1.21.13,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,csi-provisioner,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/csi-resizer:v1.12.0,longhorn/v1.7.2,stdlib,v1.22.5,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,csi-resizer,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/csi-snapshotter:v7.0.2-20241007,longhorn/v1.7.2,stdlib,v1.21.13,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,csi-snapshotter,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/livenessprobe:v2.14.0,longhorn/v1.7.2,stdlib,v1.22.5,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,livenessprobe,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/longhorn-cli:v1.7.2,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-cli:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,libgmodule-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,qemu-img,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:3744-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,qemu-img,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,qemu-pr-helper,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:3744-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,qemu-pr-helper,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,qemu-tools,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:3744-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,qemu-tools,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/longhorn-engine:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/longhorn-engine:v1.7.2,longhorn/v1.7.2,stdlib,v1.22.4,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,usr/local/bin/grpc_health_probe,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,libgmodule-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,qemu-img,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:3744-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,qemu-img,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,qemu-pr-helper,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:3744-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,qemu-pr-helper,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,qemu-tools,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:3744-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),8.2.7-15061.6.coco15sp6.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,qemu-tools,8.2.6-150600.3.15.1,sles,SUSE-SU-2024:4094-1,HIGH,,longhornio/longhorn-instance-manager:v1.7.2 (sles 15.6),8.2.7-150600.3.20.1,false,affected,
longhornio/longhorn-instance-manager:v1.7.2,longhorn/v1.7.2,stdlib,v1.22.4,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,usr/local/bin/grpc_health_probe,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
longhornio/longhorn-manager:v1.7.2,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-manager:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-share-manager:v1.7.2,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-share-manager:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/longhorn-ui:v1.7.2,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/longhorn-ui:v1.7.2 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/support-bundle-kit:v0.0.45,longhorn/v1.7.2,libglib-2_0-0,2.78.6-150600.4.3.1,sles,SUSE-SU-2024:4254-1,HIGH,,longhornio/support-bundle-kit:v0.0.45 (sles 15.6),2.78.6-150600.4.8.1,false,affected,
longhornio/support-bundle-kit:v0.0.45,longhorn/v1.7.2,stdlib,v1.22.5,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,usr/bin/yq,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
